,sitc4,exporter,value,rca
0,0011,Areas NES,388,0.11244889829617515
163,0015,Areas NES,39012,23.301008097571735
227,001X,Areas NES,30,54.20039811111585
236,0111,Areas NES,3110,0.26904777446682365
308,0112,Areas NES,1738,0.9969768626891253
688,0141,Areas NES,158,1.791830889834619
773,0149,Areas NES,923,0.25088685650376097
861,0223,Areas NES,464,0.13650198373770958
924,0224,Areas NES,3237,0.45737130334841813
1027,0230,Areas NES,842,0.3867619341612173
1092,0240,Areas NES,2286,0.29710450611952166
1278,02XX,Areas NES,102,111.22420608199485
1294,0341,Areas NES,1140,0.18578702241373724
1413,0342,Areas NES,768,0.08888447127874777
1611,0344,Areas NES,856,0.17203518261140352
1842,0360,Areas NES,6139,0.3547449004396412
1974,0371,Areas NES,2719,0.553517227505715
2057,0372,Areas NES,467,0.138198709908342
2203,0412,Areas NES,38224,4.208620636012584
2304,0422,Areas NES,5935,1.42549948590827
2425,0440,Areas NES,19496,2.7271312773726124
2965,0488,Areas NES,391,0.12918417256534304
3038,048A,Areas NES,206,115.95334269768632
3067,04XX,Areas NES,40,23.386524367256573
3309,0545,Areas NES,130,0.017142339141891724
3527,0548,Areas NES,494,0.5698860896010783
3614,054A,Areas NES,216,37.49086478734927
3764,0565,Areas NES,286,0.07974713911464293
3992,0573,Areas NES,192,0.0376387229737866
4058,0574,Areas NES,246,0.1221284361502931
4116,0575,Areas NES,150,0.051982813105850866
4313,0579,Areas NES,394,0.053598116571718445
4427,057A,Areas NES,282,69.02374249238557
4578,0585,Areas NES,611,0.1156118460130418
4764,0589,Areas NES,916,0.2765445149028304
4896,05XX,Areas NES,52,16.934590700051235
4936,0611,Areas NES,1102,0.2882854889268083
5017,0612,Areas NES,850,0.24821352666331145
5161,0616,Areas NES,418,1.2744667218309587
5277,061X,Areas NES,70,85.54724813239427
5403,0711,Areas NES,1988,0.23783341927582743
5775,0730,Areas NES,168,0.03244862934508807
5961,0751,Areas NES,788,0.7365579674455643
6034,0752,Areas NES,266,0.2556343570153922
6155,07XX,Areas NES,136,63.77588304956491
6237,0812,Areas NES,3904,12.135007333973862
6307,0813,Areas NES,494,0.07830320134202268
6398,0814,Areas NES,1141,0.5320095642661284
6565,081X,Areas NES,66,3.3514533275975684
6679,0980,Areas NES,7328,0.5916421672839668
6806,09AA,Areas NES,244,2084.9086473409234
